Customer_ID,Recency,Frequency,Monetary,Cluster,Customer_Segment
C046,268,9,752202.42,2,High-Value Customers
C047,330,12,625013.51,2,High-Value Customers
C048,294,3,145329.77000000002,3,Occasional Customers
C049,345,6,77360.31,3,Occasional Customers
C050,857,2,67877.18000000001,1,At-Risk Customers
C051,324,5,349417.63,3,Occasional Customers
C052,594,8,696727.23,2,High-Value Customers
C053,350,5,207658.86000000002,3,Occasional Customers
C054,622,3,93936.52,1,At-Risk Customers
C055,328,5,440239.47,0,Regular Customers
C056,573,4,235213.12,1,At-Risk Customers
C057,343,3,314560.25,3,Occasional Customers
C058,674,8,508433.63,0,Regular Customers
C059,411,6,237583.09,3,Occasional Customers
C060,374,5,664012.8400000001,0,Regular Customers
C061,494,5,417545.87,0,Regular Customers
C062,323,5,318772.66000000003,3,Occasional Customers
C063,303,4,179050.13,3,Occasional Customers
C064,265,4,185043.27,3,Occasional Customers
C065,377,6,345347.08,0,Regular Customers
C066,610,5,188918.93,1,At-Risk Customers
C067,321,6,570091.65,0,Regular Customers
C068,356,9,308890.11,0,Regular Customers
C069,358,8,806156.94,2,High-Value Customers
C070,387,4,104935.73,3,Occasional Customers
C071,456,5,169004.49,3,Occasional Customers
C072,360,11,1195605.83,2,High-Value Customers
C073,958,4,435766.94999999995,1,At-Risk Customers
C074,416,5,828706.49,0,Regular Customers
C075,281,9,286677.79000000004,0,Regular Customers
C076,516,6,476910.79000000004,0,Regular Customers
C077,293,6,139800.03,3,Occasional Customers
C078,389,6,353354.31,0,Regular Customers
C079,297,9,697979.74,2,High-Value Customers
C080,382,4,443003.85000000003,3,Occasional Customers
C081,277,6,205083.93999999997,3,Occasional Customers
C082,748,5,174042.27000000002,1,At-Risk Customers
C083,265,5,190859.41,3,Occasional Customers
C084,291,10,421026.23,2,High-Value Customers
C085,402,2,185663.69,3,Occasional Customers
C086,367,9,583996.98,2,High-Value Customers
C087,386,7,608482.31,0,Regular Customers
C088,403,5,85106.93,3,Occasional Customers
C089,353,7,261046.64,0,Regular Customers
C090,301,9,432806.20999999996,0,Regular Customers
C091,318,6,445576.13,0,Regular Customers
C092,438,6,501467.85,0,Regular Customers
C093,377,11,558765.04,2,High-Value Customers
C094,330,6,246915.59,3,Occasional Customers
C095,400,8,589211.03,0,Regular Customers
C096,551,3,111023.32,1,At-Risk Customers
C097,400,6,102492.09999999999,3,Occasional Customers
C098,728,10,328208.41,0,Regular Customers
C099,1094,4,130031.09,1,At-Risk Customers
C100,299,9,696235.61,2,High-Value Customers
C101,421,5,102982.83,3,Occasional Customers
C102,281,9,653862.9,2,High-Value Customers
C103,579,9,935879.22,2,High-Value Customers
C104,397,5,303497.64,3,Occasional Customers
C105,430,8,367995.58,0,Regular Customers
C106,565,9,449080.02,0,Regular Customers
C107,324,5,193591.51,3,Occasional Customers
C108,774,5,88945.75,1,At-Risk Customers
C109,305,8,187168.21,0,Regular Customers
C110,311,8,353524.4,0,Regular Customers
C111,450,4,219948.95,3,Occasional Customers
C112,366,9,630836.7,2,High-Value Customers
C113,290,6,502185.54,0,Regular Customers
C114,285,6,576867.7,0,Regular Customers
C115,263,3,306826.24,3,Occasional Customers
C116,1,14,894379.21,2,High-Value Customers
C117,567,4,112539.28,1,At-Risk Customers
C118,325,6,415273.82,0,Regular Customers
C119,478,6,325630.14999999997,0,Regular Customers
C120,409,6,227728.85,3,Occasional Customers
C121,323,6,517426.77,0,Regular Customers
C122,308,6,708811.32,0,Regular Customers
C123,562,3,191369.07,1,At-Risk Customers
C124,1159,1,16481.74,1,At-Risk Customers
C125,372,5,606610.0,0,Regular Customers
C126,398,8,271720.71,0,Regular Customers
C127,658,4,281366.16000000003,1,At-Risk Customers
C128,289,8,303624.41000000003,0,Regular Customers
C129,719,4,507084.99,1,At-Risk Customers
C130,414,12,776278.07,2,High-Value Customers
C131,531,3,172400.91,3,Occasional Customers
C132,316,6,328009.74,0,Regular Customers
C133,491,8,539499.5,0,Regular Customers
C134,285,13,750412.0800000001,2,High-Value Customers
C135,691,3,270898.36,1,At-Risk Customers
C136,279,9,514570.97000000003,2,High-Value Customers
C137,349,5,638203.1,0,Regular Customers
C138,374,8,464988.2,0,Regular Customers
C139,624,2,38058.68,1,At-Risk Customers
C140,455,8,771425.4099999999,2,High-Value Customers
C141,275,7,535328.07,0,Regular Customers
C142,301,5,303397.4,3,Occasional Customers
C143,718,4,343746.09,1,At-Risk Customers
C144,425,8,353474.95,0,Regular Customers
C145,489,6,207680.02,3,Occasional Customers
C146,463,10,509975.18000000005,2,High-Value Customers
C147,270,11,734897.03,2,High-Value Customers
C148,639,6,279889.18,1,At-Risk Customers
C149,439,9,550268.92,2,High-Value Customers
C150,341,6,688953.9800000001,0,Regular Customers
C151,693,4,275289.5,1,At-Risk Customers
C152,302,8,473739.23,0,Regular Customers
C153,618,4,118946.94,1,At-Risk Customers
C154,532,8,195893.86,0,Regular Customers
C155,669,3,243089.15,1,At-Risk Customers
C156,352,9,583218.0499999999,2,High-Value Customers
C157,1228,3,93468.8,1,At-Risk Customers
C158,501,5,159995.81,3,Occasional Customers
C159,363,7,127707.75,3,Occasional Customers
C160,341,4,87277.66,3,Occasional Customers
C161,504,8,413191.19000000006,0,Regular Customers
C162,372,8,663795.52,2,High-Value Customers
C163,337,8,340357.63,0,Regular Customers
C164,314,6,96335.54,3,Occasional Customers
C165,381,6,347728.06,0,Regular Customers
C166,396,7,95931.51999999999,3,Occasional Customers
C167,375,7,289647.07,0,Regular Customers
C168,329,8,981424.44,2,High-Value Customers
C169,615,6,331607.7,1,At-Risk Customers
C170,453,4,125836.39,3,Occasional Customers
C171,335,8,543797.25,0,Regular Customers
C172,267,4,39856.44,3,Occasional Customers
C173,685,10,468762.01999999996,0,Regular Customers
C174,411,3,156140.06,3,Occasional Customers
C175,315,5,83709.4,3,Occasional Customers
C176,322,5,244656.64,3,Occasional Customers
C177,659,5,426582.72,1,At-Risk Customers
C178,321,9,617412.77,2,High-Value Customers
C179,287,6,629852.95,0,Regular Customers
C180,675,5,224506.82,1,At-Risk Customers
C181,431,7,317955.76,0,Regular Customers
C182,273,4,313358.33,3,Occasional Customers
C183,831,1,34026.8,1,At-Risk Customers
C184,268,6,148510.14,3,Occasional Customers
C185,347,4,126710.77999999998,3,Occasional Customers
C186,410,3,335840.99,3,Occasional Customers
C187,480,10,693251.9500000001,2,High-Value Customers
C188,331,8,518637.74,0,Regular Customers
C189,525,3,54891.61,3,Occasional Customers
C190,271,6,164541.12,3,Occasional Customers
C191,309,6,309714.38,3,Occasional Customers
C192,718,7,323083.14,1,At-Risk Customers
C193,507,8,512738.38999999996,0,Regular Customers
C194,383,6,758091.21,0,Regular Customers
C195,427,4,268808.52999999997,3,Occasional Customers
C196,399,7,474435.42,0,Regular Customers
C197,438,8,502391.66000000003,0,Regular Customers
C198,521,9,289287.33,0,Regular Customers
C199,765,5,386191.57,1,At-Risk Customers
C200,444,7,562602.86,0,Regular Customers
C201,389,8,402861.75999999995,0,Regular Customers
C202,695,4,348171.59,1,At-Risk Customers
C203,467,8,521595.60000000003,0,Regular Customers
C204,643,5,422970.63,1,At-Risk Customers
C205,709,1,12916.81,1,At-Risk Customers
C206,578,4,461792.98000000004,1,At-Risk Customers
C207,354,7,563704.42,0,Regular Customers
C208,272,6,777436.94,2,High-Value Customers
C209,327,5,127119.28,3,Occasional Customers
C210,271,7,504502.26,0,Regular Customers
C211,347,5,120498.36,3,Occasional Customers
C212,329,6,292554.99,3,Occasional Customers
C213,415,6,168012.44999999998,3,Occasional Customers
C214,576,10,849093.0700000001,2,High-Value Customers
C215,361,9,546024.65,2,High-Value Customers
C216,406,5,155360.84,3,Occasional Customers
C217,1065,2,143081.5,1,At-Risk Customers
C218,476,11,531203.25,2,High-Value Customers
C219,459,6,70352.56,3,Occasional Customers
C220,278,10,764490.61,2,High-Value Customers
C221,750,3,37143.96,1,At-Risk Customers
C222,419,7,389170.91,0,Regular Customers
C223,687,3,177686.78,1,At-Risk Customers
C224,858,5,439929.33999999997,1,At-Risk Customers
C225,273,7,593638.62,0,Regular Customers
C226,385,8,243645.87,0,Regular Customers
C227,420,8,530749.71,0,Regular Customers
C228,449,7,465129.84,0,Regular Customers
C229,276,7,924815.65,2,High-Value Customers
C230,312,7,143555.37,3,Occasional Customers
C231,274,11,464229.92,2,High-Value Customers
C232,362,3,405465.83,3,Occasional Customers
C233,402,4,399587.29,3,Occasional Customers
C234,302,5,250729.49000000002,3,Occasional Customers
C235,412,8,471746.96,0,Regular Customers
C236,363,5,288438.54,3,Occasional Customers
C237,312,7,272441.71,0,Regular Customers
C238,313,5,482067.66,0,Regular Customers
C239,473,6,385191.73,0,Regular Customers
C240,276,6,188153.02000000002,3,Occasional Customers
C241,279,8,338450.71,0,Regular Customers
C242,348,9,503594.42000000004,2,High-Value Customers
C243,447,6,585956.92,0,Regular Customers
C244,469,5,410124.82999999996,0,Regular Customers
C245,443,6,180180.69,3,Occasional Customers
C246,280,9,629319.14,2,High-Value Customers
C247,570,5,82387.39,3,Occasional Customers
C248,1125,1,218518.88,1,At-Risk Customers
C249,414,8,620897.88,2,High-Value Customers
C250,418,6,404239.85,0,Regular Customers
C251,721,3,157386.77000000002,1,At-Risk Customers
C252,266,7,120147.11,3,Occasional Customers
C253,429,4,190715.46000000002,3,Occasional Customers
C254,394,5,147970.96000000002,3,Occasional Customers
C255,309,8,501975.6,0,Regular Customers
C256,717,4,367673.03,1,At-Risk Customers
C257,304,7,286653.69,0,Regular Customers
C258,482,8,190869.4,0,Regular Customers
C259,365,7,569254.44,0,Regular Customers
C260,520,2,73529.47,3,Occasional Customers
C261,799,4,229469.06999999998,1,At-Risk Customers
C262,296,5,176129.77000000002,3,Occasional Customers
C263,474,5,136991.5,3,Occasional Customers
C264,511,9,576423.36,2,High-Value Customers
C265,338,3,367167.26,3,Occasional Customers
C266,481,5,274850.35,3,Occasional Customers
C267,475,7,532679.94,0,Regular Customers
C268,310,9,323224.08,0,Regular Customers
C269,522,3,153944.47999999998,3,Occasional Customers
C270,446,5,515717.89,0,Regular Customers
C271,424,11,586176.03,2,High-Value Customers
C272,293,5,589607.9600000001,0,Regular Customers
C273,282,10,552999.58,2,High-Value Customers
C274,326,3,201250.57,3,Occasional Customers
C275,371,9,470282.95999999996,0,Regular Customers
C276,337,6,542973.91,0,Regular Customers
C277,442,7,417366.37,0,Regular Customers
C278,638,3,148961.43,1,At-Risk Customers
C279,319,8,593519.6599999999,2,High-Value Customers
C280,288,9,559680.01,2,High-Value Customers
C281,483,3,47392.68,3,Occasional Customers
C282,357,6,609160.4600000001,0,Regular Customers
C283,316,6,488646.19,0,Regular Customers
C284,287,12,863229.16,2,High-Value Customers
C285,700,3,20829.0,1,At-Risk Customers
C286,518,5,174273.16,3,Occasional Customers
C287,417,2,396195.15,3,Occasional Customers
C288,681,5,143757.76,1,At-Risk Customers
C289,295,13,971384.16,2,High-Value Customers
C290,621,3,139261.52000000002,1,At-Risk Customers
C291,470,4,77936.64,3,Occasional Customers
C292,368,9,713952.62,2,High-Value Customers
C293,962,2,108917.78,1,At-Risk Customers
C294,716,2,73013.06999999999,1,At-Risk Customers
C295,267,5,263196.84,3,Occasional Customers
C296,305,6,345492.2,0,Regular Customers
C297,286,8,829080.8,2,High-Value Customers
C298,828,4,258364.6,1,At-Risk Customers
C299,898,3,55556.9,1,At-Risk Customers
C300,445,5,293344.23,3,Occasional Customers
